parameter_key,input,max_absolute_correlation,median_absolute_correlation,affected_methods,affected_outputs,scope,method_id,parameter,coverage_class,evidence_ids,needs_research,gap_weight,priority_score,priority,research_question
methods.reusable_age_token.fixed_annual_cost,fixed_annual_cost,0.9981906598032124,0.004332129171652852,1,8,method,reusable_age_token,fixed_annual_cost,explicit_gap,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-FIXED-ANNUAL-COST;GAP-METHOD-REUSABLE-AGE-TOKEN-FIXED-ANNUAL-COST,True,1.25,1.2477383247540155,P0-critical,Estimate implementation and compliance costs by retailer size and channel.
methods.self_declaration.fixed_annual_cost,fixed_annual_cost,0.9976136351297975,0.010544981014073994,1,5,method,self_declaration,fixed_annual_cost,explicit_gap,ASSUMP-METHOD-SELF-DECLARATION-FIXED-ANNUAL-COST;GAP-METHOD-SELF-DECLARATION-FIXED-ANNUAL-COST,True,1.25,1.2470170439122468,P0-critical,Estimate implementation and compliance costs by retailer size and channel.
methods.visual_estimation.fixed_annual_cost,fixed_annual_cost,0.9931292419470759,0.002647211494082885,1,5,method,visual_estimation,fixed_annual_cost,explicit_gap,ASSUMP-METHOD-VISUAL-ESTIMATION-FIXED-ANNUAL-COST;GAP-METHOD-VISUAL-ESTIMATION-FIXED-ANNUAL-COST,True,1.25,1.2414115524338447,P0-critical,Estimate implementation and compliance costs by retailer size and channel.
methods.photo_id_visual.fixed_annual_cost,fixed_annual_cost,0.9929288115504197,0.004790025283964011,1,5,method,photo_id_visual,fixed_annual_cost,explicit_gap,ASSUMP-METHOD-PHOTO-ID-VISUAL-FIXED-ANNUAL-COST;GAP-METHOD-PHOTO-ID-VISUAL-FIXED-ANNUAL-COST,True,1.25,1.2411610144380245,P0-critical,Estimate implementation and compliance costs by retailer size and channel.
methods.facial_age_estimation.fixed_annual_cost,fixed_annual_cost,0.9833664834738586,0.006150914095884367,1,8,method,facial_age_estimation,fixed_annual_cost,explicit_gap,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-FIXED-ANNUAL-COST;GAP-METHOD-FACIAL-AGE-ESTIMATION-FIXED-ANNUAL-COST,True,1.25,1.2292081043423233,P0-critical,Estimate implementation and compliance costs by retailer size and channel.
methods.document_upload.fixed_annual_cost,fixed_annual_cost,0.9771876852935631,0.001985042251898017,1,8,method,document_upload,fixed_annual_cost,explicit_gap,ASSUMP-METHOD-DOCUMENT-UPLOAD-FIXED-ANNUAL-COST;GAP-METHOD-DOCUMENT-UPLOAD-FIXED-ANNUAL-COST,True,1.25,1.221484606616954,P0-critical,Estimate implementation and compliance costs by retailer size and channel.
methods.in_person_enrolment.fixed_annual_cost,fixed_annual_cost,0.9550632652817694,0.004380508486440204,1,8,method,in_person_enrolment,fixed_annual_cost,explicit_gap,ASSUMP-METHOD-IN-PERSON-ENROLMENT-FIXED-ANNUAL-COST;GAP-METHOD-IN-PERSON-ENROLMENT-FIXED-ANNUAL-COST,True,1.25,1.1938290816022117,P0-critical,Estimate implementation and compliance costs by retailer size and channel.
methods.visual_estimation.adult_false_rejection_rate,adult_false_rejection_rate,0.8348750974587501,0.002522813515057126,1,5,method,visual_estimation,adult_false_rejection_rate,explicit_gap,ASSUMP-METHOD-VISUAL-ESTIMATION-ADULT-FALSE-REJECTION-RATE;GAP-METHOD-VISUAL-ESTIMATION-ADULT-FALSE-REJECTION-RATE,True,1.25,1.0435938718234377,P0-critical,"Measure lawful-adult false rejection using the actual threshold, devices, images, documents, and appeal process."
methods.in_person_enrolment.minor_substitution_rate,minor_substitution_rate,0.8016953746702462,0.0026858993494263605,1,8,method,in_person_enrolment,minor_substitution_rate,context_only,ASSUMP-METHOD-IN-PERSON-ENROLMENT-MINOR-SUBSTITUTION-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,True,1.0,0.8016953746702462,P0-critical,"Measure substitution from a blocked energy-drink purchase to other caffeinated, sugary, or informal products."
scenario.purchase_attempt_rate,purchase_attempt_rate,0.7738783505525274,0.33492856040222746,7,8,scenario,ALL,purchase_attempt_rate,context_only,ASSUMP-SCENARIO-PURCHASE-ATTEMPT-RATE;GAP-QC-PURCHASE-ATTEMPT-RATE;ISQ-QC-15-29-FREQUENCY-2020-21,True,1.0,0.7738783505525274,P0-critical,Estimate annual relevant purchase attempts per person and by retail channel.
