scope,method_id,parameter,parameter_key,low,mode,high,evidence_ids,evidence_count,missing_evidence_ids,coverage_class,direct_empirical_count,contextual_count,assumption_count,gap_count,needs_research
method,document_upload,adult_abandonment_rate,methods.document_upload.adult_abandonment_rate,0.07,0.14,0.28,ASSUMP-METHOD-DOCUMENT-UPLOAD-ADULT-ABANDONMENT-RATE;GAP-METHOD-DOCUMENT-UPLOAD-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,3,,official_guidance,0,0,1,1,True
method,document_upload,adult_false_rejection_rate,methods.document_upload.adult_false_rejection_rate,0.015,0.04,0.1,ASSUMP-METHOD-DOCUMENT-UPLOAD-ADULT-FALSE-REJECTION-RATE;GAP-METHOD-DOCUMENT-UPLOAD-ADULT-FALSE-REJECTION-RATE,2,,explicit_gap,0,0,1,1,True
method,document_upload,age_assertions_per_check,methods.document_upload.age_assertions_per_check,0.0,0.0,0.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-AGE-ASSERTIONS-PER-CHECK;GAP-METHOD-DOCUMENT-UPLOAD-AGE-ASSERTIONS-PER-CHECK;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
method,document_upload,annual_breach_probability,methods.document_upload.annual_breach_probability,0.002,0.015,0.05,ASSUMP-METHOD-DOCUMENT-UPLOAD-ANNUAL-BREACH-PROBABILITY;GAP-METHOD-DOCUMENT-UPLOAD-ANNUAL-BREACH-PROBABILITY,2,,explicit_gap,0,0,1,1,True
method,document_upload,biometric_scans_per_identity_proof,methods.document_upload.biometric_scans_per_identity_proof,0.0,0.0,0.5,ASSUMP-METHOD-DOCUMENT-UPLOAD-BIOMETRIC-SCANS-PER-IDENTITY-PROOF;GAP-METHOD-DOCUMENT-UPLOAD-BIOMETRIC-SCANS-PER-IDENTITY-PROOF,2,,explicit_gap,0,0,1,1,True
method,document_upload,catastrophic_breach_probability,methods.document_upload.catastrophic_breach_probability,0.0001,0.001,0.01,ASSUMP-METHOD-DOCUMENT-UPLOAD-CATASTROPHIC-BREACH-PROBABILITY;GAP-METHOD-DOCUMENT-UPLOAD-CATASTROPHIC-BREACH-PROBABILITY,2,,explicit_gap,0,0,1,1,True
method,document_upload,catastrophic_exposure_fraction,methods.document_upload.catastrophic_exposure_fraction,0.25,0.75,1.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-CATASTROPHIC-EXPOSURE-FRACTION;GAP-METHOD-DOCUMENT-UPLOAD-CATASTROPHIC-EXPOSURE-FRACTION,2,,explicit_gap,0,0,1,1,True
method,document_upload,centralized_record_fraction,methods.document_upload.centralized_record_fraction,0.6,0.9,1.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-CENTRALIZED-RECORD-FRACTION;GAP-METHOD-DOCUMENT-UPLOAD-CENTRALIZED-RECORD-FRACTION;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,4,,official_guidance,0,0,1,1,True
method,document_upload,fixed_annual_cost,methods.document_upload.fixed_annual_cost,25000.0,60000.0,160000.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-FIXED-ANNUAL-COST;GAP-METHOD-DOCUMENT-UPLOAD-FIXED-ANNUAL-COST,2,,explicit_gap,0,0,1,1,True
method,document_upload,higher_friction_abandonment_multiplier,methods.document_upload.higher_friction_abandonment_multiplier,2.0,3.5,6.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;GAP-METHOD-DOCUMENT-UPLOAD-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;W3C-WCAG22-AUTH-3-3-8,3,,official_guidance,0,0,1,1,True
method,document_upload,higher_friction_false_rejection_multiplier,methods.document_upload.higher_friction_false_rejection_multiplier,2.5,4.0,7.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER;GAP-METHOD-DOCUMENT-UPLOAD-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER,2,,explicit_gap,0,0,1,1,True
method,document_upload,identity_proofing_rate,methods.document_upload.identity_proofing_rate,0.85,1.0,1.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-IDENTITY-PROOFING-RATE;GAP-METHOD-DOCUMENT-UPLOAD-IDENTITY-PROOFING-RATE;LEGAL-QC-BILL9-REMOTE-SALES,3,,legal_fact,0,0,1,1,True
method,document_upload,minor_circumvention_rate,methods.document_upload.minor_circumvention_rate,0.08,0.2,0.38,ASSUMP-METHOD-DOCUMENT-UPLOAD-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-DOCUMENT-UPLOAD-MINOR-CIRCUMVENTION-RATE,2,,explicit_gap,0,0,1,1,True
method,document_upload,minor_detection_rate,methods.document_upload.minor_detection_rate,0.9,0.97,0.995,ASSUMP-METHOD-DOCUMENT-UPLOAD-MINOR-DETECTION-RATE;GAP-METHOD-DOCUMENT-UPLOAD-MINOR-DETECTION-RATE,2,,explicit_gap,0,0,1,1,True
method,document_upload,minor_substitution_rate,methods.document_upload.minor_substitution_rate,0.15,0.4,0.7,ASSUMP-METHOD-DOCUMENT-UPLOAD-MINOR-SUBSTITUTION-RATE;GAP-METHOD-DOCUMENT-UPLOAD-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,3,,context_only,0,1,1,1,True
method,document_upload,record_retention_years,methods.document_upload.record_retention_years,0.25,1.0,5.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-RECORD-RETENTION-YEARS;GAP-METHOD-DOCUMENT-UPLOAD-RECORD-RETENTION-YEARS;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
