evidence_id,parameter,method,relationship,estimate_low,estimate_central,estimate_high,unit,source_title,source_url,source_type,jurisdiction,population,measurement_start,measurement_end,retrieved_on,independence,status,confidence,transferability,limitations,notes
LEGAL-QC-BILL9-AGE-THRESHOLD,age_threshold,ALL,legal,16,16,16,years,"Loi visant à prévenir les effets nocifs de la boisson énergisante sur la santé des jeunes, 2026, chapitre 11",https://www.publicationsduquebec.gouv.qc.ca/fileadmin/Fichiers_client/lois_et_reglements/LoisAnnuelles/fr/2026/2026C11F.PDF,statute,Quebec,Prospective buyers of covered energy drinks,,,2026-07-22,official_source,legal_fact,high,high,"States the legal threshold, not compliance behaviour or health effect.",Sections 1 and 2 prohibit sale to and purchase by persons under 16.
LEGAL-QC-BILL9-PHOTO-ID,verification_design,photo_id_visual,legal,,,,,"Loi visant à prévenir les effets nocifs de la boisson énergisante sur la santé des jeunes, section 3",https://www.publicationsduquebec.gouv.qc.ca/fileadmin/Fichiers_client/lois_et_reglements/LoisAnnuelles/fr/2026/2026C11F.PDF,statute,Quebec,Prospective buyers asked for proof,,,2026-07-22,official_source,legal_fact,high,high,Does not specify a universal challenge age or measured rejection rate.,"When asked, a buyer must use government or public-body photo ID showing name and date of birth; the seller must refuse if identity is not established."
LEGAL-QC-BILL9-REMOTE-SALES,remote_sales_design,ALL,legal,,,,,"Loi visant à prévenir les effets nocifs de la boisson énergisante sur la santé des jeunes, section 4",https://www.publicationsduquebec.gouv.qc.ca/fileadmin/Fichiers_client/lois_et_reglements/LoisAnnuelles/fr/2026/2026C11F.PDF,statute,Quebec,"Internet, vending, and other non-co-present sales",,,2026-07-22,official_source,legal_fact,high,high,Future regulations may create exceptions and alternative verification methods.,Remote and automated sales provisions take effect with the first regulation under section 4.
LEGAL-QC-BILL9-EFFECTIVE-DATE,effective_date,ALL,legal,,,,date,"Loi visant à prévenir les effets nocifs de la boisson énergisante sur la santé des jeunes, section 15",https://www.publicationsduquebec.gouv.qc.ca/fileadmin/Fichiers_client/lois_et_reglements/LoisAnnuelles/fr/2026/2026C11F.PDF,statute,Quebec,ALL,,,2026-07-22,official_source,legal_fact,high,high,The remote-sales provisions have a different commencement rule.,Most provisions enter into force on 2026-12-11.
INSPQ-QC-YOUTH-WEEKLY-2022-23,energy_drink_consumption_prevalence,ALL,contextual,0.0625,0.0625,0.0625,share of youth weekly,L'encadrement des boissons énergisantes caféinées pour la santé et le mieux-vivre des adolescents,https://www.inspq.qc.ca/publications/3844,official_public_health_brief,Quebec,Youth in the cited 2022-2023 source data,2022,2023,2026-07-22,government_public_health_institute,empirical,moderate,low,Consumption prevalence is not the share of retail purchase attempts made by people under 16.,INSPQ reports one youth in 16 consumed a sweetened caffeinated energy drink weekly.
INSPQ-QC-YOUTH-DAILY-2022-23,energy_drink_consumption_prevalence,ALL,contextual,0.01,0.01,0.01,share of youth daily,L'encadrement des boissons énergisantes caféinées pour la santé et le mieux-vivre des adolescents,https://www.inspq.qc.ca/publications/3844,official_public_health_brief,Quebec,Youth in the cited 2022-2023 source data,2022,2023,2026-07-22,government_public_health_institute,empirical,moderate,low,Daily consumption prevalence is not a transaction frequency distribution.,INSPQ reports one youth in 100 consumed a sweetened caffeinated energy drink daily.
INSPQ-QC-SUBSTITUTION-WARNING-2026,minor_substitution_rate,ALL,contextual,,,,,L'encadrement des boissons énergisantes caféinées pour la santé et le mieux-vivre des adolescents,https://www.inspq.qc.ca/publications/3844,official_public_health_brief,Quebec,Youth affected by a sales ban,,2026,2026-07-22,government_public_health_institute,official_guidance,moderate,moderate,Identifies plausible substitution and informal-market effects but does not quantify them for Quebec.,INSPQ recommends considering substitution to other harmful products and informal markets.
ISQ-QC-15-24-WEEKLY-2020-21,energy_drink_consumption_prevalence,ALL,contextual,0.10,0.10,0.10,share consuming at least weekly,Comment se porte la santé de la population québécoise?,https://statistique.quebec.ca/fr/communique/comment-se-porte-sante-population-quebecoise,official_statistics,Quebec,People aged 15 to 24,2020,2021,2026-07-22,official_statistics_agency,empirical,high,low,Age band includes lawful adults and does not measure purchase attempts or covered products exactly.,ISQ reports 10 percent consumed energy drinks at least weekly.
ISQ-QC-15-29-FREQUENCY-2020-21,energy_drink_consumption_frequency,ALL,contextual,0.10,0.10,0.12,share consuming weekly or daily categories,Nouveaux indicateurs sur les jeunes de 15 à 29 ans,https://statistique.quebec.ca/fr/actualite/nouveaux-indicateurs-sur-les-jeunes-de-15-a-29-ans-et-mise-a-jour-de-donnees-mai2023,official_statistics,Quebec,People aged 15 to 29,2020,2021,2026-07-22,official_statistics_agency,empirical,high,low,The source reports 10 percent at 1-6 times weekly and 2 percent at least daily; it does not identify under-16 transactions.,"Useful for bounding frequency, not directly for the modeled minor share."
HEALTHCAN-CED-CAFFEINE-MAX,product_definition_context,ALL,contextual,180,180,180,mg caffeine per serving,Caffeinated energy drinks,https://www.canada.ca/en/health-canada/services/food-nutrition/supplemented-foods/caffeinated-energy-drinks.html,federal_regulatory_guidance,Canada,Caffeinated energy drinks sold in Canada,,,2026-07-22,official_source,official_guidance,high,high,A per-serving federal limit is not an estimate of Quebec purchase behaviour.,Health Canada restricts caffeine from all sources to 180 mg per serving.
